ResID,Question,Verbatim,Codes,CodeLabels,Confidence,IsCoded,NeedsReview,Note
2001,Reason_EasyMaintenance,"Tự vệ sinh được máy giặt không cần thuê thợ, tiết kiệm chi phí hơn",01|02,Tự vệ sinh dễ dàng|Tiết kiệm chi phí,0.95,True,False,
2002,Reason_EasyMaintenance,Dễ dàng chủ động vệ sinh máy giặt và tiết kiệm chi phí thuê dịch vụ ngoài và tự nắm bắt sạch bẩn của máy giặt hơn,01|02|06,Tự vệ sinh dễ dàng|Tiết kiệm chi phí|Chủ động kiểm soát vệ sinh,0.9,True,False,
2003,Reason_EasyMaintenance,Mâm giặt có thể tháo lắp dễ dàng giúp người dùng tự vệ sinh được thường xuyên mà không tốn nhiều chi phí giúp tiết kiệm chi phí hơn,01|02,Tự vệ sinh dễ dàng|Tiết kiệm chi phí,0.95,True,False,
2004,Reason_EasyMaintenance,mình thích vif máy sẽ tự động xả sạch sơ vải giúp tích kiệm thời gian hơn,04|03,Chức năng tự làm sạch/loại bỏ xơ vải|Tiết kiệm thời gian,0.9,True,False,
2005,Reason_EasyMaintenance,ngươi dùng có thể tự vê sinh máy giúp tiêt kiêm chi phí hơn,01|02,Tự vệ sinh dễ dàng|Tiết kiệm chi phí,0.9,True,False,
2006,Reason_EasyMaintenance,"máy giặt tự động loại bỏ xơ vải giúp quần áo không bị bám bụi, thấy tiện lợi hơn",04|05|99,Chức năng tự làm sạch/loại bỏ xơ vải|Giữ quần áo sạch/mới lâu hơn|Khác / Other,0.85,True,False,Thấy tiện lợi hơn có thể hiểu là nhiều ý
2007,Reason_EasyMaintenance,Máy giặt giúp loại bỏ xơ vải nên quần áo mới lâu hơn,04|05,Chức năng tự làm sạch/loại bỏ xơ vải|Giữ quần áo sạch/mới lâu hơn,0.95,True,False,
2008,Reason_EasyMaintenance,vì máy giặt giúp loại bỏ xơ vải nên sẽ không bị dính bụi bẩn và xơ vải vào lần giặt tiếp theo rất tiện lợi.,04|05,Chức năng tự làm sạch/loại bỏ xơ vải|Giữ quần áo sạch/mới lâu hơn,0.95,True,False,
2009,Reason_EasyMaintenance,Thiết kế mới giúp mâm giặt dễ tháo nên tôi tự vệ sinh được mà không cần thuê thợ máy,01,Tự vệ sinh dễ dàng,0.95,True,False,
2010,Reason_EasyMaintenance,"Vì concept 8 có thể tự tháo mở máy mà không phải gọi thợ đến để làm , đỡ tốn chi phí và mất thời gian",01|02|03,Tự vệ sinh dễ dàng|Tiết kiệm chi phí|Tiết kiệm thời gian,0.95,True,False,
