ResID,Question,Verbatim,Codes,CodeLabels,Confidence,IsCoded,NeedsReview,Note
1001,Concept_Like_1,"Cửa lồng sấy có kích thước lớn giúp bỏ và lấy đồ ra dễ dàng. Bảng điều khiển phía dưới giúp thao tác dễ dàng. Bề mặt dễ lau chùi, giúp sản phẩm bền lâu hơn. Hai bộ phận làm nóng, và 2 cửa thoát khí cung cấp lượng khí ẩm: giúp áo quần mềm mại",01|02,Thiết kế cửa lớn|Bảng điều khiển tiện lợi,0.9,True,False,Cửa lồng sấy lớn và bảng điều khiển dễ thao tác.
1001,Concept_Like_2,Phù hợp với không gian nhà ở vì có diện tích hạn chế. Thiết kế trượt: ngăn ngừa nấm mốc phát triển bên trong lồng. Thiết kế phẳng trượt như vậy sẽ tránh các vật dụng lớn rơi vào lồng giặt khi mở cửa,06|10,Chống nấm mốc|Thiết kế cửa trượt,0.9,True,False,Thiết kế trượt ngăn ngừa nấm mốc.
1001,Concept_Like_3,Chân chống nắp máy giặt không cần mở hoàn toàn nắp máy giặt mà vẫn có thể làm lồng giặt thông thoáng nên thấy tiện lợi mình không cần mở hết cửa ra mà vẫn thông thoáng,06,Chống nấm mốc,0.8,True,False,Lồng giặt thông thoáng ngăn ngừa nấm mốc.
1001,Concept_Like_4,Màn hình hiển thị lớn: làm mình thao tác dễ dàng.. Màn hình cảm ứng lớn: thấy hiện đại thời thượng,07,Màn hình cảm ứng,0.9,True,False,Màn hình cảm ứng lớn dễ thao tác.
1001,Concept_Like_5,Bảng điều khiển có thể gấp gọn: tiết kiệm không gian. Bảng điều khiển có thể gập 180 để phẳng: có thể điều chỉnh theo ý muốn tiết kiệm diện tích nhà ở. Bảng điều khiển gấp gọn nên dễ vệ sinh lau chùi dễ dàng,02,Bảng điều khiển tiện lợi,0.9,True,False,Bảng điều khiển có thể gấp gọn.
1001,Concept_Like_6,"Điều khiển bằng giọng nói mà không cần sử dụng bảng điều khiển: thấy nhanh hơn. Có thể tự Chọn chương trình giặt, yêu cầu máy kết thúc theo thời gian giặt: thấy thông minh tiện dụng dễ hơn khi dùng bảng điều khiển,",03,Điều khiển giọng nói,0.9,True,False,Điều khiển bằng giọng nói không cần bảng điều khiển.
1001,Concept_Like_7,"Tiết kiệm thời gian: không tốn hao thời gian. Tự động xả sạch xơ vải lọc được: sạch hơn, không mất cọng sức. Không cần vệ sinh thủ công: tiết kiệm thời gian vệ sinh",04,Tiết kiệm thời gian và chi phí,0.9,True,False,"Tự động xả sạch xơ vải, tiết kiệm thời gian."
1001,Concept_Like_8,"Thiết kế mới: mâm giặt dễ tháo lắp, người dùng có thể tự vệ sinh máy sạch sẽ. Không cần thuê thợ đến vệ sinh: mình tự vệ sinh được dễ dàng",04,Tiết kiệm thời gian và chi phí,0.8,True,False,Tự vệ sinh máy dễ dàng.
1001,Concept_Like_9,"Đèn báo vì giúp dễ dàng nhận biết máy đang ở giai đoạn nào. Bề mặt vật liệu mô phỏng vân đá: tự nhiên, hài hòa không gian môi trường nhà ở",08,Vật liệu vân đá,0.8,True,False,Bề mặt vật liệu mô phỏng vân đá.
1001,Concept_Like_10,"Đèn led chiếu sáng trong lồng: giúp dễ nhìn, dễ hiểu để biết được trạng thái của máy đang hoạt động",09,Đèn led chiếu sáng,0.9,True,False,Đèn led chiếu sáng trong lồng giặt.
